Region,Period,Model,F1,PR-AUC,PR-AUC Error
Eastern Siberia,2021-2025,LSTM embedding fusion (global full),0.5627,0.5151,0.0039
Eastern Siberia,2021-2025,LSTM gated MoE (global full),0.5701,0.5634,0.0049
Eastern Siberia,2021-2025,LSTM static concat (global full),0.5808,0.4875,0.0045
Eastern Siberia,2021-2025,Logistic Regression (linear SGD),0.5001,0.3346,0.0014
Eastern Siberia,2021-2025,Minimal MLP (global full),0.5735,0.53,0.0033
Eastern Siberia,2021-2025,Poisson Point-Process GLM,0.5538,0.54,0.0051
Eastern Siberia,2021-2025,Random Forest,0.567,0.5931,0.0055
Eastern Siberia,2021-2025,Spatial climate TSN embedding fusion (global full),0.7075,0.7513,0.0041
Eastern Siberia,2021-2025,Spatial climate TSN-MLP (ECMWF global full),0.5547,0.5823,0.0037
Eastern Siberia,2021-2025,Spatial climate TSN-MLP (global full),0.7111,0.7549,0.0022
Eastern Siberia,2021-2025,Spatial climate TSN-MLP no tp (ERA5 global full),0.7048,0.7378,0.0021
Eastern Siberia,2021-2025,TemporalConvNet / TSN-MLP (global full),0.5029,0.5262,0.0046
Eastern Siberia,2021-2025,Weather-only CatBoost,0.5348,0.4601,0.005
Europe,2021-2023,CatBoost,0.3269,0.2385,0.0026
Europe,2021-2023,CatBoost deployment-weighted,0.1328,0.0712,0.001
Europe,2021-2023,FT-Transformer (global full),0.2961,0.3075,0.0173
Europe,2021-2023,FWI-only CatBoost,0.1421,0.1293,0.003
Europe,2021-2023,LSTM attention (global full),0.3553,0.347,0.006
Europe,2021-2023,LSTM embedding fusion (global full),0.3269,0.2791,0.0131
Europe,2021-2023,LSTM gated MoE (global full),0.3272,0.3228,0.0069
Europe,2021-2023,LSTM static concat (global full),0.3671,0.379,0.0094
Europe,2021-2023,Logistic Regression (linear SGD),0.2273,0.1276,0.0017
Europe,2021-2023,Minimal MLP (global full),0.3671,0.348,0.0077
Europe,2021-2023,Poisson Point-Process GLM,0.251,0.2084,0.0048
Europe,2021-2023,Random Forest,0.2915,0.293,0.0088
Europe,2021-2023,Spatial climate TSN embedding fusion (global full),0.371,0.3572,0.0135
Europe,2021-2023,Spatial climate TSN-MLP (ECMWF global full),0.2488,0.3394,0.0136
Europe,2021-2023,Spatial climate TSN-MLP (global full),0.3262,0.3653,0.0137
Europe,2021-2023,Spatial climate TSN-MLP no tp (ERA5 global full),0.3267,0.3935,0.0109
Europe,2021-2023,TemporalConvNet / TSN-MLP (global full),0.2189,0.3779,0.0049
Europe,2021-2023,Weather-only CatBoost,0.2206,0.1149,0.0023
Europe,2021-2025,CatBoost,0.3142,0.2311,0.0043
Europe,2021-2025,CatBoost deployment-weighted,0.1331,0.0695,0.0005
Europe,2021-2025,FT-Transformer (global full),0.286,0.2799,0.006
Europe,2021-2025,FWI-only CatBoost,0.1423,0.1335,0.0024
Europe,2021-2025,LSTM attention (global full),0.3387,0.3095,0.0119
Europe,2021-2025,LSTM embedding fusion (global full),0.3154,0.2603,0.0074
Europe,2021-2025,LSTM gated MoE (global full),0.3094,0.2908,0.0089
Europe,2021-2025,LSTM static concat (global full),0.3451,0.334,0.0095
Europe,2021-2025,Logistic Regression (linear SGD),0.2227,0.124,0.0008
Europe,2021-2025,Minimal MLP (global full),0.3479,0.313,0.0115
Europe,2021-2025,Poisson Point-Process GLM,0.2495,0.1941,0.0072
Europe,2021-2025,Random Forest,0.2888,0.2818,0.0104
Europe,2021-2025,Spatial climate TSN embedding fusion (global full),0.3365,0.3041,0.0127
Europe,2021-2025,Spatial climate TSN-MLP (ECMWF global full),0.2524,0.3039,0.0072
Europe,2021-2025,Spatial climate TSN-MLP (global full),0.3034,0.2991,0.0078
Europe,2021-2025,Spatial climate TSN-MLP no tp (ERA5 global full),0.3082,0.3335,0.0091
Europe,2021-2025,TemporalConvNet / TSN-MLP (global full),0.2214,0.3378,0.0093
Europe,2021-2025,Weather-only CatBoost,0.2231,0.1176,0.0021
Far East,2021-2023,CatBoost,0.46,0.3999,0.0141
Far East,2021-2023,CatBoost deployment-weighted,0.2679,0.2237,0.0037
Far East,2021-2023,FT-Transformer (global full),0.3565,0.3771,0.0168
Far East,2021-2023,FWI-only CatBoost,0.3017,0.3219,0.0119
Far East,2021-2023,LSTM attention (global full),0.3888,0.3788,0.0139
Far East,2021-2023,LSTM embedding fusion (global full),0.4301,0.4384,0.0164
Far East,2021-2023,LSTM gated MoE (global full),0.4102,0.4154,0.0054
Far East,2021-2023,LSTM static concat (global full),0.4136,0.3894,0.0273
Far East,2021-2023,Logistic Regression (linear SGD),0.3112,0.1843,0.0019
Far East,2021-2023,Minimal MLP (global full),0.3994,0.402,0.0007
Far East,2021-2023,Poisson Point-Process GLM,0.3848,0.3694,0.0054
Far East,2021-2023,Random Forest,0.3806,0.4609,0.0114
Far East,2021-2023,Spatial climate TSN embedding fusion (global full),0.5953,0.5865,0.0104
Far East,2021-2023,Spatial climate TSN-MLP (ECMWF global full),0.3672,0.3809,0.007
Far East,2021-2023,Spatial climate TSN-MLP (global full),0.6159,0.671,0.0136
Far East,2021-2023,Spatial climate TSN-MLP no tp (ERA5 global full),0.6055,0.6582,0.0091
Far East,2021-2023,TemporalConvNet / TSN-MLP (global full),0.2998,0.4394,0.0176
Far East,2021-2023,Weather-only CatBoost,0.345,0.2408,0.0066
Far East,2021-2025,CatBoost,0.4301,0.3748,0.0129
Far East,2021-2025,CatBoost deployment-weighted,0.2617,0.239,0.0067
Far East,2021-2025,FT-Transformer (global full),0.3526,0.3928,0.0072
Far East,2021-2025,FWI-only CatBoost,0.2916,0.2933,0.0123
Far East,2021-2025,LSTM attention (global full),0.3869,0.389,0.011
Far East,2021-2025,LSTM embedding fusion (global full),0.4441,0.4278,0.0126
Far East,2021-2025,LSTM gated MoE (global full),0.4049,0.4097,0.0155
Far East,2021-2025,LSTM static concat (global full),0.4229,0.3922,0.0122
Far East,2021-2025,Logistic Regression (linear SGD),0.3019,0.178,0.0021
Far East,2021-2025,Minimal MLP (global full),0.4061,0.3912,0.0076
Far East,2021-2025,Poisson Point-Process GLM,0.3713,0.3507,0.0157
Far East,2021-2025,Random Forest,0.3809,0.4433,0.012
Far East,2021-2025,Spatial climate TSN embedding fusion (global full),0.5816,0.5565,0.0063
Far East,2021-2025,Spatial climate TSN-MLP (ECMWF global full),0.3643,0.3996,0.0088
Far East,2021-2025,Spatial climate TSN-MLP (global full),0.5412,0.6084,0.0113
Far East,2021-2025,Spatial climate TSN-MLP no tp (ERA5 global full),0.5357,0.5838,0.0144
Far East,2021-2025,TemporalConvNet / TSN-MLP (global full),0.2993,0.422,0.0125
Far East,2021-2025,Weather-only CatBoost,0.3081,0.2083,0.0059
Global,2021-2023,CatBoost,0.5688,0.5975,0.0052
Global,2021-2023,CatBoost deployment-weighted,0.3693,0.2871,0.0036
Global,2021-2023,FT-Transformer (global full),0.4868,0.4734,0.0092
Global,2021-2023,FWI-only CatBoost,0.379,0.3584,0.0053
Global,2021-2023,LSTM attention (global full),0.5145,0.4905,0.0041
Global,2021-2023,LSTM embedding fusion (global full),0.5364,0.5077,0.0055
Global,2021-2023,LSTM gated MoE (global full),0.5237,0.5397,0.0034
Global,2021-2023,LSTM static concat (global full),0.5453,0.4759,0.0047
Global,2021-2023,Logistic Regression (linear SGD),0.4416,0.2849,0.0009
Global,2021-2023,Minimal MLP (global full),0.548,0.5121,0.004
Global,2021-2023,Poisson Point-Process GLM,0.5023,0.5079,0.0041
Global,2021-2023,Random Forest,0.5099,0.5606,0.0052
Global,2021-2023,Spatial climate TSN embedding fusion (global full),0.6707,0.7293,0.0044
Global,2021-2023,Spatial climate TSN-MLP (ECMWF global full),0.489,0.5541,0.0051
Global,2021-2023,Spatial climate TSN-MLP (global full),0.6764,0.7471,0.0033
Global,2021-2023,Spatial climate TSN-MLP no tp (ERA5 global full),0.6621,0.7203,0.0034
Global,2021-2023,TemporalConvNet / TSN-MLP (global full),0.4337,0.4883,0.0056
Global,2021-2023,Weather-only CatBoost,0.467,0.3836,0.0048
Global,2021-2025,CatBoost,0.5377,0.562,0.0054
Global,2021-2025,CatBoost deployment-weighted,0.3281,0.2408,0.0022
Global,2021-2025,FT-Transformer (global full),0.44,0.4234,0.004
Global,2021-2025,FWI-only CatBoost,0.3383,0.3127,0.0038
Global,2021-2025,LSTM attention (global full),0.4709,0.4465,0.0024
Global,2021-2025,LSTM embedding fusion (global full),0.4896,0.4516,0.0052
Global,2021-2025,LSTM gated MoE (global full),0.481,0.4905,0.0052
Global,2021-2025,LSTM static concat (global full),0.5039,0.4375,0.0033
Global,2021-2025,Logistic Regression (linear SGD),0.3981,0.25,0.0012
Global,2021-2025,Minimal MLP (global full),0.5072,0.4703,0.0056
Global,2021-2025,Poisson Point-Process GLM,0.4607,0.4601,0.0028
Global,2021-2025,Random Forest,0.4747,0.5108,0.0021
Global,2021-2025,Spatial climate TSN embedding fusion (global full),0.637,0.6842,0.0061
Global,2021-2025,Spatial climate TSN-MLP (ECMWF global full),0.4489,0.4982,0.0036
Global,2021-2025,Spatial climate TSN-MLP (global full),0.6374,0.6915,0.0042
Global,2021-2025,Spatial climate TSN-MLP no tp (ERA5 global full),0.6292,0.6712,0.0069
Global,2021-2025,TemporalConvNet / TSN-MLP (global full),0.3927,0.4492,0.0026
Global,2021-2025,Weather-only CatBoost,0.4227,0.3422,0.0036
