Model,model,model_name,model_type,Feature set,feature_set,Region,region,region_display,split,evaluation_type,is_primary,calibration_method,test_universe,test_period,support,weighted_support,positives,observed_prevalence,mean_calibrated_predicted_probability,PR-AUC,average_precision,ROC-AUC,roc_auc,weighted_brier_score,Brier,weighted_logloss,reliability_ece,reliability_mce,reliability_rmse,daily_expected_observed_count_mae,max_f1,precision_at_max_f1,recall_at_max_f1,threshold_at_max_f1,predicted_positive_grid_cells_at_max_f1,calibration_intercept,calibration_slope,expected_fire_positive_grid_cells,observed_fire_positive_grid_cells,expected_observed_count_ratio,observed_prevalence_error,average_precision_error,roc_auc_error,max_f1_error,weighted_brier_score_error,weighted_logloss_error,expected_observed_count_ratio_error,mean_calibrated_predicted_probability_error
Minimal MLP (global full),Minimal MLP (global full),Minimal MLP (global full),Neural,daily spatial neural dense full-grid,daily spatial neural dense full-grid,Global,global,Global,test,primary_full_grid_calibrated,True,prior_offset_month,land_or_burnable,2022-05-01 to 2022-05-31,3587444,3587444.0,357.0,9.951374850729378e-05,2.3240331650802176e-05,0.0003176972094659,0.0003176972094659,0.8444164933190381,0.8444164933190381,9.950317113433496e-05,9.950317113433496e-05,0.0010070283545154,7.809034500351574e-05,0.0003857043495789,0.0001430965327399,9.736848019993207,0.0007556059292841,0.0003780028995045,0.7142857142857143,3.995576676283587e-05,674598.0,-0.0638389290324267,0.8437410074056826,83.37338833872256,357.0,0.233538902909587,0.0,0.0005946997602377,0.0624470020562787,0.0041196093124056,5.707858615220758e-09,4.701365853357802e-05,0.0022267457363269,2.2267457363285449e-07
Minimal MLP (global full),Minimal MLP (global full),Minimal MLP (global full),Neural,daily spatial neural dense full-grid,daily spatial neural dense full-grid,Eastern Siberia,eastern_siberia,Eastern Siberia,test,primary_full_grid_calibrated,True,prior_offset_month,land_or_burnable,2022-05-01 to 2022-05-31,2698426,2698426.0,243.0,9.00524972706311e-05,2.5954517364536543e-05,0.0002210483083184,0.0002210483083184,0.8072722194945063,0.8072722194945063,9.004501665664485e-05,9.004501665664485e-05,0.000929564706262,7.084489515773232e-05,0.0004609943080312,0.0001336535610287,6.496570670926402,0.0005669900481071,0.0002836148892596,0.6707818930041153,3.8810367631067545e-05,574723.0,-0.0671523228209159,0.8708791909123463,70.03634447394772,243.0,0.2882154093578095,0.0,6.297537071798939e-05,0.0389774088067315,0.000241581706209,2.298225310031121e-09,2.797959243242941e-05,0.0011221071200844,1.1221071200070697e-07
Minimal MLP (global full),Minimal MLP (global full),Minimal MLP (global full),Neural,daily spatial neural dense full-grid,daily spatial neural dense full-grid,Far East,far_east,Far East,test,primary_full_grid_calibrated,True,prior_offset_month,land_or_burnable,2022-05-01 to 2022-05-31,147467,147467.0,29.0,0.0001966541666949,1.7640087180337863e-05,0.0004321123616546,0.0004321123616546,0.7613386059178118,0.7613386059178118,0.0001966426068971,0.0001966426068971,0.0020933614653403,0.0001854607077764,0.0010297229098611,0.0003563635029364,1.0114844937657004,0.001264755480607,0.000633668943181,0.3103448275862069,4.8433443626352405e-05,14203.0,-0.0625873588987103,0.7630718575939143,2.6013307362228835,29.0,0.0897010598697546,0.0,0.0002376164402815,0.0570545084438104,0.0007127249964428,3.298033901635725e-09,5.087375995321676e-05,0.0006867962304332,1.3735924608665308e-07
Minimal MLP (global full),Minimal MLP (global full),Minimal MLP (global full),Neural,daily spatial neural dense full-grid,daily spatial neural dense full-grid,Central Asia,central_asia,Central Asia,test,primary_full_grid_calibrated,True,prior_offset_month,land_or_burnable,2022-05-01 to 2022-05-31,144708,144708.0,15.0,0.0001036570196533,2.4119197977274627e-05,0.0003119078944879,0.0003119078944879,0.8145683159056301,0.8145683159056301,0.0001036484659703,0.0001036484659703,0.0010625235509797,9.108691629717746e-05,0.0005135061596901,0.0001672168917279,0.5382161140624471,0.0008410428931875,0.0004214075010535,0.2,6.562247206798067e-05,7119.0,-0.0708574528189515,0.8448459107614258,3.490240900906821,15.0,0.2326827267271214,0.0,0.0001492670557176,0.0707749285327146,0.0004895523123594,1.654067163013925e-09,1.8679898833968343e-05,0.0008306330743496,8.306330741674825e-08
Minimal MLP full-grid optimized,Minimal MLP full-grid optimized,Minimal MLP full-grid optimized,Neural,daily spatial neural dense full-grid,daily spatial neural dense full-grid,Global,global,Global,test,primary_full_grid_calibrated,True,prior_offset_month,land_or_burnable,2022-05-01 to 2022-05-31,3587444,3587444.0,357.0,9.951374850729378e-05,1.927880669562522e-05,0.0003133221783554,0.0003133221783554,0.8356453448776928,0.8356453448776928,9.950614838226778e-05,9.950614838226778e-05,0.0010300750438637,8.538109863143126e-05,0.0003749293103169,0.0001448846754234,9.934826987234183,0.0007616456433461,0.0003810998909687,0.5238095238095238,4.147946589829e-05,490685.0,-0.0704977829363847,0.8413309252814019,69.16163940738052,357.0,0.1937300823736149,0.0,6.828238950467928e-05,0.0361725440175778,0.0003991942756905,6.336762174794078e-10,1.1433543589867731e-05,0.0005563770245519,5.5637702455192054e-08
Minimal MLP full-grid optimized,Minimal MLP full-grid optimized,Minimal MLP full-grid optimized,Neural,daily spatial neural dense full-grid,daily spatial neural dense full-grid,Eastern Siberia,eastern_siberia,Eastern Siberia,test,primary_full_grid_calibrated,True,prior_offset_month,land_or_burnable,2022-05-01 to 2022-05-31,2698426,2698426.0,243.0,9.00524972706311e-05,1.9993289101671977e-05,0.0002525489209318,0.0002525489209318,0.8245919462072868,0.8245919462072868,9.004566961188651e-05,9.004566961188651e-05,0.0009332782171653,7.450668561391248e-05,0.0003537626502689,0.0001304219173547,6.720262690726167,0.0006371738828217,0.0003187364899192,0.6790123456790124,3.7272554784442485e-05,517669.0,-0.0716198497156743,0.8524415879865272,53.95041113746831,243.0,0.2220181528290876,0.0,0.0003526730268022,0.0439978472422717,0.0016588501994777,1.4201799074462732e-09,1.6457073327270103e-05,0.0006124464193185,6.124464193185149e-08
Minimal MLP full-grid optimized,Minimal MLP full-grid optimized,Minimal MLP full-grid optimized,Neural,daily spatial neural dense full-grid,daily spatial neural dense full-grid,Far East,far_east,Far East,test,primary_full_grid_calibrated,True,prior_offset_month,land_or_burnable,2022-05-01 to 2022-05-31,147467,147467.0,29.0,0.0001966541666949,2.4784641459268327e-05,0.0008185595080522,0.0008185595080522,0.6929959103791612,0.6929959103791612,0.0001966410317264,0.0001966410317264,0.0020592589224543,0.000182668962961,0.0007568492321708,0.0002797696700174,1.0362934983820469,0.0073260073260073,0.0037425149700598,0.1724137931034483,6.19961585766614e-05,1336.0,-0.072804043204777,0.7975653020133536,3.6549167220739225,29.0,0.1260316111059973,0.0,0.0011941872791579,0.0400857263013485,0.0097166094944151,1.1714130065945762e-09,1.580855804782678e-05,0.0001964896134878,3.929792269757624e-08
Minimal MLP full-grid optimized,Minimal MLP full-grid optimized,Minimal MLP full-grid optimized,Neural,daily spatial neural dense full-grid,daily spatial neural dense full-grid,Central Asia,central_asia,Central Asia,test,primary_full_grid_calibrated,True,prior_offset_month,land_or_burnable,2022-05-01 to 2022-05-31,144708,144708.0,15.0,0.0001036570196533,2.3891925721087065e-05,0.0003526893016708,0.0003526893016708,0.8137617806896901,0.8137617806896901,0.0001036498341,0.0001036498341,0.0010810999414115,9.910153934163002e-05,0.0006471598107997,0.0001840803465105,0.5413983305611594,0.0010551305724083,0.0005282620179609,0.4,4.349195801968202e-05,11358.0,-0.0764836624636536,0.8497742799277743,3.457352787247067,15.0,0.2304901858164711,0.0,0.0002110552902588,0.1093742384932665,0.0006004617971585,1.132032429927493e-09,1.806401625572108e-05,0.000484074017752,4.8407401775206946e-08
Minimal MLP full-grid rank optimized,Minimal MLP full-grid rank optimized,Minimal MLP full-grid rank optimized,Neural,daily spatial neural dense full-grid,daily spatial neural dense full-grid,Global,global,Global,test,primary_full_grid_calibrated,True,prior_offset_month,land_or_burnable,2022-05-01 to 2022-05-31,3587444,3587444.0,357.0,9.951374850729378e-05,2.1582262895967736e-05,0.00032013290901864155,0.00032013290901864155,0.8383581208949553,0.8383581208949553,9.950389886730361e-05,9.950389886730361e-05,0.0010223181613241393,7.873553575366323e-05,0.0004258863901910283,0.00013956750633319223,9.792215634294012,0.0007970556763316309,0.00039881154160601405,0.5602240896358543,4.748521850354593e-05,501490.0,-0.0616027244089279,0.834747609374663,77.4251595325935,357.0,0.21687719757028992,0.0,0.00014893906215294783,0.08362917412610633,0.0006642970291652676,3.3256779489035504e-09,8.439172950096842e-05,0.0022740857170884103,2.2740857172846644e-07
Minimal MLP full-grid rank optimized,Minimal MLP full-grid rank optimized,Minimal MLP full-grid rank optimized,Neural,daily spatial neural dense full-grid,daily spatial neural dense full-grid,Eastern Siberia,eastern_siberia,Eastern Siberia,test,primary_full_grid_calibrated,True,prior_offset_month,land_or_burnable,2022-05-01 to 2022-05-31,2698426,2698426.0,243.0,9.00524972706311e-05,2.4199714984952662e-05,0.0002491449217136053,0.0002491449217136053,0.8213059236789939,0.8213059236789939,9.00446234895275e-05,9.00446234895275e-05,0.0009321618070575161,6.662371995010168e-05,0.00034995739402042227,0.00012463658467677143,6.520099244067654,0.0006272818257425185,0.0003137752628749218,0.7325102880658436,3.242312777568106e-05,567285.0,-0.06308575370790506,0.8404155016111021,65.30114010801731,243.0,0.2687289716379313,0.0,0.00032783743130898184,0.05599572860289556,0.0018496950734364444,6.288021317855846e-09,4.890699597612571e-05,0.001797834497736251,1.7978344977825642e-07
